time(seconds),sensor id,humidity,PM_2.5A,PM_2.5B, AQIA, AQIB
1724187600,128729,53.4,1.534,1.595,1.99,8,11
1724191200,128729,54.067,2.189,2.187,2.24,12,12
1724194800,128729,55.867,3.035,3.015,2.51,16,13
1724198400,128729,61.0,3.575,3.697,2.38,20,13
1724202000,128729,66.133,4.633,4.585,2.46,25,13
1724205600,128729,68.666,7.131,7.418,3.66,40,20
1724209200,128729,70.066,6.244,6.522,3.06,35,17
1724212800,128729,70.966,4.629,4.573,2.04,25,11
1724216400,128729,70.666,4.051,4.111,1.81,22,10
1724220000,128729,70.0,3.584,3.538,1.6,20,8
1724223600,128729,70.867,3.901,3.824,1.68,21,9
1724227200,128729,71.666,3.727,3.714,1.51,20,8
1724230800,128729,72.0,3.298,3.236,1.27,18,7
1724234400,128729,72.2,3.341,3.356,1.26,18,6
1724238000,128729,70.0,3.261,3.32,1.45,18,8
1724241600,128729,64.5,3.619,3.582,2.08,20,11
1724245200,128729,57.534,3.355,3.516,2.57,18,14
1724248800,128729,53.3,2.819,2.833,2.62,15,14
1724252400,128729,47.233,2.843,2.835,3.15,15,17
1724256000,128729,41.45,2.897,2.99,3.7,16,20
1724259600,128729,43.6,3.195,3.177,3.67,17,20
1724263200,128729,44.0,3.148,3.145,3.58,17,19
1724266800,128729,43.733,3.094,2.87,3.55,16,19
1724270400,128729,45.133,3.227,3.33,3.59,18,19
1724274000,128729,46.633,3.56,3.681,3.62,20,20
1724277600,128729,48.4,3.928,4.223,3.73,22,20
1724281200,128729,54.434,4.079,4.25,3.26,23,18
1724284800,128729,56.3,4.227,4.484,3.2,24,17
1724288400,128729,59.4,5.071,5.199,3.3,28,18
1724292000,128729,61.767,4.802,5.008,2.99,27,16
1724295600,128729,65.767,4.861,5.105,2.7,27,15
1724299200,128729,67.433,4.273,4.416,2.19,23,12
1724302800,128729,68.934,4.142,4.216,2.01,23,11
1724306400,128729,70.267,3.249,3.161,1.37,17,7
1724310000,128729,70.933,2.883,2.897,1.16,16,6
1724313600,128729,71.267,2.919,2.82,1.13,16,6
1724317200,128729,71.0,2.928,2.861,1.15,16,6
1724320800,128729,71.466,2.803,2.768,1.06,15,5
1724324400,128729,68.933,2.761,2.604,1.22,15,6
